annex,country,Effective Effort,quarter,ICES rectangle,regulated area,regulated gear,specon,vessel length,year
CEL1,IRL,70,1,35E0,7BCEFGHJK,TR2,NONE,O10T15M,2003
CEL1,IRL,49,1,31E1,7BCEFGHJK,TR2,NONE,O10T15M,2003
CEL1,IRL,40,1,31E2,7BCEFGHJK,TR2,NONE,O10T15M,2003
CEL1,IRL,205,1,31E3,7BCEFGHJK,TR2,NONE,O10T15M,2003
CEL1,IRL,14,1,32E1,7BCEFGHJK,TR2,NONE,O10T15M,2003
CEL1,IRL,86,1,32E2,7BCEFGHJK,TR2,NONE,O10T15M,2003
CEL1,IRL,40,1,32E3,7BCEFGHJK,TR2,NONE,O10T15M,2003
CEL1,IRL,82,1,32E2,7BCEFGHJK,TR2,NONE,O10T15M,2004
CEL1,IRL,49,1,35E0,7BCEFGHJK,TR2,NONE,O10T15M,2011
CEL1,IRL,4,1,34D9,7BCEFGHJK,TR2,NONE,O10T15M,2012
CEL1,IRL,18,1,34E0,7BCEFGHJK,TR2,NONE,O10T15M,2012
CEL1,IRL,28,1,35E0,7BCEFGHJK,TR2,NONE,O10T15M,2012
CEL1,IRL,21,1,31E1,7BCEFGHJK,TR2,NONE,O10T15M,2012
CEL1,IRL,8,1,32E1,7BCEFGHJK,TR2,NONE,O10T15M,2012
CEL1,IRL,18,1,34E0,7BCEFGHJK,TR2,NONE,O10T15M,2013
CEL1,IRL,148,1,35E0,7BCEFGHJK,TR2,NONE,O10T15M,2013
CEL1,IRL,18,1,31E1,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,47,1,31E2,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,7,1,31E3,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,73,1,32E2,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,7,1,32E3,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,17,1,30E1,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,32,1,31E1,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,210,1,31E2,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,12,1,32E1,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,26,1,32E3,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,87,1,29E0,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,400,1,30E0,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,347,1,31E0,7BCEFGHJK,TR1,NONE,O15M,2003
CEL1,IRL,163,1,35E0,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,12,1,30E1,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,29,1,30E2,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,571,1,31E1,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,802,1,31E2,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,179,1,31E3,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,368,1,32E1,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,809,1,32E2,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,13,1,29E0,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,105,1,30E0,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,116,1,31D9,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,638,1,31E0,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,130,1,32D8,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,66,1,32D9,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,192,1,35E0,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,38,1,30E2,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,75,1,31E1,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,33,1,31E2,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,429,1,32E2,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,80,1,31E0,7BCEFGHJK,TR2,NONE,O15M,2003
CEL1,IRL,14,1,31E1,7BCEFGHJK,DEM_SEINE,NONE,O15M,2003
CEL1,IRL,18,1,30E0,7BCEFGHJK,DEM_SEINE,NONE,O15M,2003
CEL1,IRL,5,1,31D9,7BCEFGHJK,DEM_SEINE,NONE,O15M,2003
CEL1,IRL,221,1,31E0,7BCEFGHJK,DEM_SEINE,NONE,O15M,2003
CEL1,IRL,24,1,29E1,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,151,1,30E1,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,30,1,30E2,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,61,1,31E1,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,340,1,31E2,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,22,1,32E2,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,12,1,32E3,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,122,1,29E0,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,663,1,30E0,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,111,1,31D9,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,686,1,31E0,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,36,1,32D9,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,66,1,33D9,7BCEFGHJK,TR1,NONE,O15M,2004
CEL1,IRL,39,1,30E1,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,44,1,30E2,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,772,1,31E1,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,429,1,31E2,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,101,1,32E1,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,631,1,32E2,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,35,1,32E3,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,12,1,30E0,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,1094,1,31E0,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,10,1,32D9,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,223,1,30E2,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,15,1,31E1,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,431,1,31E2,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,20,1,31E3,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,11,1,32E1,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,221,1,32E2,7BCEFGHJK,TR2,NONE,O15M,2004
CEL1,IRL,83,1,30E1,7BCEFGHJK,DEM_SEINE,NONE,O15M,2004
CEL1,IRL,13,1,30E2,7BCEFGHJK,DEM_SEINE,NONE,O15M,2004
CEL1,IRL,12,1,31E1,7BCEFGHJK,DEM_SEINE,NONE,O15M,2004
CEL1,IRL,72,1,31E2,7BCEFGHJK,DEM_SEINE,NONE,O15M,2004
CEL1,IRL,53,1,32E2,7BCEFGHJK,DEM_SEINE,NONE,O15M,2004
CEL1,IRL,36,1,31E0,7BCEFGHJK,DEM_SEINE,NONE,O15M,2004
CEL1,IRL,9,1,30E1,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,138,1,31E1,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,684,1,31E2,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,25,1,31E3,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,184,1,32E2,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,7,1,32E3,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,81,1,29E0,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,30,1,30D9,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,135,1,30E0,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,6,1,31D8,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,80,1,31D9,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,261,1,31E0,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,80,1,32D8,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,36,1,32D9,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,73,1,32E0,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,20,1,33D8,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,18,1,33D9,7BCEFGHJK,TR1,NONE,O15M,2005
CEL1,IRL,18,1,35D8,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,529,1,31E1,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,370,1,31E2,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,58,1,31E3,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,17,1,32E1,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,470,1,32E2,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,46,1,30E0,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,5,1,31D8,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,10,1,31D9,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,267,1,31E0,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,82,1,32D8,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,27,1,32D9,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,51,1,33D8,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,5,1,33D9,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,15,1,30E2,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,221,1,31E2,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,66,1,32E1,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,195,1,32E2,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,36,1,30E0,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,180,1,31E0,7BCEFGHJK,TR2,NONE,O15M,2005
CEL1,IRL,50,1,30E1,7BCEFGHJK,DEM_SEINE,NONE,O15M,2005
CEL1,IRL,107,1,31E2,7BCEFGHJK,DEM_SEINE,NONE,O15M,2005
CEL1,IRL,19,1,31D9,7BCEFGHJK,DEM_SEINE,NONE,O15M,2005
CEL1,IRL,115,1,31E0,7BCEFGHJK,DEM_SEINE,NONE,O15M,2005
CEL1,IRL,42,1,32D8,7BCEFGHJK,DEM_SEINE,NONE,O15M,2005
CEL1,IRL,78,1,32D9,7BCEFGHJK,DEM_SEINE,NONE,O15M,2005
CEL1,IRL,84,1,33D8,7BCEFGHJK,DEM_SEINE,NONE,O15M,2005
CEL1,IRL,75,1,30E1,7BCEFGHJK,TR1,NONE,O15M,2006
CEL1,IRL,13,1,30E2,7BCEFGHJK,TR1,NONE,O15M,2006
CEL1,IRL,390,1,31E2,7BCEFGHJK,TR1,NONE,O15M,2006
CEL1,IRL,43,1,32E3,7BCEFGHJK,TR1,NONE,O15M,2006
CEL1,IRL,10,1,29D9,7BCEFGHJK,TR1,NONE,O15M,2006
CEL1,IRL,86,1,29E0,7BCEFGHJK,TR1,NONE,O15M,2006
CEL1,IRL,353,1,30E0,7BCEFGHJK,TR1,NONE,O15M,2006
CEL1,IRL,97,1,31D8,7BCEFGHJK,TR1,NONE,O15M,2006
CEL1,IRL,278,1,31D9,7BCEFGHJK,TR1,NONE,O15M,2006
CEL1,IRL,868,1,31E0,7BCEFGHJK,TR1,NONE,O15M,2006
CEL1,IRL,87,1,32D9,7BCEFGHJK,TR1,NONE,O15M,2006
CEL1,IRL,715,1,31E1,7BCEFGHJK,TR2,NONE,O15M,2006
CEL1,IRL,1104,1,31E2,7BCEFGHJK,TR2,NONE,O15M,2006
CEL1,IRL,115,1,32E1,7BCEFGHJK,TR2,NONE,O15M,2006
CEL1,IRL,541,1,32E2,7BCEFGHJK,TR2,NONE,O15M,2006
CEL1,IRL,6,1,32E3,7BCEFGHJK,TR2,NONE,O15M,2006
CEL1,IRL,10,1,31E0,7BCEFGHJK,TR2,NONE,O15M,2006
CEL1,IRL,36,1,30E1,7BCEFGHJK,TR1,NONE,O15M,2007
CEL1,IRL,36,1,30E2,7BCEFGHJK,TR1,NONE,O15M,2007
CEL1,IRL,510,1,31E2,7BCEFGHJK,TR1,NONE,O15M,2007
CEL1,IRL,320,1,32E2,7BCEFGHJK,TR1,NONE,O15M,2007
CEL1,IRL,65,1,32E3,7BCEFGHJK,TR1,NONE,O15M,2007
CEL1,IRL,20,1,29D9,7BCEFGHJK,TR1,NONE,O15M,2007
CEL1,IRL,85,1,29E0,7BCEFGHJK,TR1,NONE,O15M,2007
CEL1,IRL,438,1,30E0,7BCEFGHJK,TR1,NONE,O15M,2007
CEL1,IRL,334,1,31E0,7BCEFGHJK,TR1,NONE,O15M,2007
CEL1,IRL,111,1,34E0,7BCEFGHJK,TR2,NONE,O15M,2007
CEL1,IRL,6,1,30E1,7BCEFGHJK,TR2,NONE,O15M,2007
CEL1,IRL,88,1,31E1,7BCEFGHJK,TR2,NONE,O15M,2007
CEL1,IRL,418,1,31E2,7BCEFGHJK,TR2,NONE,O15M,2007
CEL1,IRL,173,1,32E1,7BCEFGHJK,TR2,NONE,O15M,2007
CEL1,IRL,170,1,32E2,7BCEFGHJK,TR2,NONE,O15M,2007
CEL1,IRL,12,1,32E3,7BCEFGHJK,TR2,NONE,O15M,2007
CEL1,IRL,103,1,31E0,7BCEFGHJK,TR2,NONE,O15M,2007
CEL1,IRL,283,1,31E1,7BCEFGHJK,TR2,NONE,O15M,2007
CEL1,IRL,45,1,32E2,7BCEFGHJK,TR2,NONE,O15M,2007
CEL1,IRL,33,1,31E0,7BCEFGHJK,TR2,NONE,O15M,2007
CEL1,IRL,21,1,30E1,7BCEFGHJK,TR1,NONE,O15M,2008
CEL1,IRL,2,1,30E2,7BCEFGHJK,TR1,NONE,O15M,2008
