region	Rectangle	MA	FU	Assessment.Area
108E	15D2	Outside MA	Outside FU	VIII
108E	15D3	Outside MA	Outside FU	VIII
108E	15D4	Outside MA	Outside FU	VIII
108E	15D5	Outside MA	Outside FU	VIII
108E	15D6	Outside MA	Outside FU	VIII
108E	15D7	Outside MA	Outside FU	VIII
108E	15D8	Outside MA	Outside FU	VIII
108C	15D9	O	Outside FU	VIII
108C	15E0	O	25	VIII
108C	15E1	O	25	VIII
108C	15E2	O	Outside FU	VIII
108C	15E3	O	Outside FU	VIII
108C	15E4	O	Outside FU	VIII
108C	15E5	O	Outside FU	VIII
108C	15E6	O	Outside FU	VIII
108C	15E7	O	Outside FU	VIII
108C	15E8	O	Outside FU	VIII
108E	16D2	Outside MA	Outside FU	VIII
108E	16D3	Outside MA	Outside FU	VIII
108E	16D4	Outside MA	Outside FU	VIII
108E	16D5	Outside MA	Outside FU	VIII
108E	16D6	Outside MA	Outside FU	VIII
108E	16D7	Outside MA	Outside FU	VIII
108E	16D8	Outside MA	Outside FU	VIII
108C	16D9	O	Outside FU	VIII
108C	16E0	O	Outside FU	VIII
108C	16E1	O	25	VIII
108C	16E2	O	Outside FU	VIII
108C	16E3	O	Outside FU	VIII
108C	16E4	O	31	VIII
108C	16E5	O	31	VIII
108C	16E6	O	31	VIII
108C	16E7	O	31	VIII
108C	16E8	O	Outside FU	VIII
108E	17D2	Outside MA	Outside FU	VIII
108E	17D3	Outside MA	Outside FU	VIII
108E	17D4	Outside MA	Outside FU	VIII
108E	17D5	Outside MA	Outside FU	VIII
108E	17D6	Outside MA	Outside FU	VIII
108E	17D7	Outside MA	Outside FU	VIII
108E	17D8	Outside MA	Outside FU	VIII
108D	17D9	Outside MA	Outside FU	VIII
108D	17E0	Outside MA	Outside FU	VIII
108D	17E1	Outside MA	Outside FU	VIII
108D	17E2	Outside MA	Outside FU	VIII
108D	17E3	Outside MA	Outside FU	VIII
108D	17E4	Outside MA	Outside FU	VIII
108D	17E5	Outside MA	Outside FU	VIII
108D	17E6	Outside MA	Outside FU	VIII
108B	17E7	N	Outside FU	VIII
108B	17E8	N	Outside FU	VIII
108E	18D2	Outside MA	Outside FU	VIII
108E	18D3	Outside MA	Outside FU	VIII
108E	18D4	Outside MA	Outside FU	VIII
108E	18D5	Outside MA	Outside FU	VIII
108E	18D6	Outside MA	Outside FU	VIII
108E	18D7	Outside MA	Outside FU	VIII
108E	18D8	Outside MA	Outside FU	VIII
108D	18D9	Outside MA	Outside FU	VIII
108D	18E0	Outside MA	Outside FU	VIII
108D	18E1	Outside MA	Outside FU	VIII
108D	18E2	Outside MA	Outside FU	VIII
108D	18E3	Outside MA	Outside FU	VIII
108D	18E4	Outside MA	Outside FU	VIII
108D	18E5	Outside MA	Outside FU	VIII
108D	18E6	Outside MA	Outside FU	VIII
108B	18E7	N	Outside FU	VIII
108B	18E8	N	Outside FU	VIII
108E	19D2	Outside MA	Outside FU	VIII
108E	19D3	Outside MA	Outside FU	VIII
108E	19D4	Outside MA	Outside FU	VIII
108E	19D5	Outside MA	Outside FU	VIII
108E	19D6	Outside MA	Outside FU	VIII
108E	19D7	Outside MA	Outside FU	VIII
108E	19D8	Outside MA	Outside FU	VIII
108D	19D9	Outside MA	Outside FU	VIII
108D	19E0	Outside MA	Outside FU	VIII
108D	19E1	Outside MA	Outside FU	VIII
108D	19E2	Outside MA	Outside FU	VIII
108D	19E3	Outside MA	Outside FU	VIII
108D	19E4	Outside MA	Outside FU	VIII
108D	19E5	Outside MA	Outside FU	VIII
108B	19E6	N	Outside FU	VIII
108B	19E7	N	Outside FU	VIII
108B	19E8	N	24	VIII
108B	19E9	N	Outside FU	VIII
108E	20D2	Outside MA	Outside FU	VIII
108E	20D3	Outside MA	Outside FU	VIII
108E	20D4	Outside MA	Outside FU	VIII
108E	20D5	Outside MA	Outside FU	VIII
108E	20D6	Outside MA	Outside FU	VIII
108E	20D7	Outside MA	Outside FU	VIII
108E	20D8	Outside MA	Outside FU	VIII
108D	20D9	Outside MA	Outside FU	VIII
108D	20E0	Outside MA	Outside FU	VIII
108D	20E1	Outside MA	Outside FU	VIII
108D	20E2	Outside MA	Outside FU	VIII
108D	20E3	Outside MA	Outside FU	VIII
108D	20E4	Outside MA	Outside FU	VIII
108D	20E5	Outside MA	Outside FU	VIII
108B	20E6	N	Outside FU	VIII
108B	20E7	N	24	VIII
108B	20E8	N	24	VIII
108E	21D2	Outside MA	Outside FU	VIII
108E	21D3	Outside MA	Outside FU	VIII
108E	21D4	Outside MA	Outside FU	VIII
108E	21D5	Outside MA	Outside FU	VIII
108E	21D6	Outside MA	Outside FU	VIII
108E	21D7	Outside MA	Outside FU	VIII
108E	21D8	Outside MA	Outside FU	VIII
108D	21D9	Outside MA	Outside FU	VIII
108D	21E0	Outside MA	Outside FU	VIII
108D	21E1	Outside MA	Outside FU	VIII
108D	21E2	Outside MA	Outside FU	VIII
108D	21E3	Outside MA	Outside FU	VIII
108D	21E4	Outside MA	Outside FU	VIII
108A	21E5	N	Outside FU	VIII
108A	21E6	N	Outside FU	VIII
108A	21E7	N	24	VIII
108A	21E8	N	24	VIII
108E	22D2	Outside MA	Outside FU	VIII
108E	22D3	Outside MA	Outside FU	VIII
108E	22D4	Outside MA	Outside FU	VIII
108E	22D5	Outside MA	Outside FU	VIII
108E	22D6	Outside MA	Outside FU	VIII
108E	22D7	Outside MA	Outside FU	VIII
108E	22D8	Outside MA	Outside FU	VIII
108D	22D9	Outside MA	Outside FU	VIII
108D	22E0	Outside MA	Outside FU	VIII
108D	22E1	Outside MA	Outside FU	VIII
108D	22E2	Outside MA	Outside FU	VIII
108D	22E3	Outside MA	Outside FU	VIII
108D	22E4	Outside MA	Outside FU	VIII
108A	22E5	N	Outside FU	VIII
108A	22E6	N	23	VIII
108A	22E7	N	23	VIII
108A	22E8	N	Outside FU	VIII
108E	23D2	Outside MA	Outside FU	VIII
108E	23D3	Outside MA	Outside FU	VIII
108E	23D4	Outside MA	Outside FU	VIII
108E	23D5	Outside MA	Outside FU	VIII
108E	23D6	Outside MA	Outside FU	VIII
108E	23D7	Outside MA	Outside FU	VIII
108E	23D8	Outside MA	Outside FU	VIII
108D	23D9	Outside MA	Outside FU	VIII
108D	23E0	Outside MA	Outside FU	VIII
